Source,Target,MutualScore,A_to_B_avg,B_to_A_avg
SM,UA,7.82,7.15,0.67
FI,PL,7.8,1.85,5.95
AZ,LV,7.8,3.08,4.71
BE,LV,7.79,3.53,4.26
AM,CH,7.78,6.08,1.71
BE,SK,7.75,1.0,6.75
AU,AZ,7.75,2.86,4.89
DE,SE,7.72,5.34,2.38
ES,IL,7.72,4.82,2.89
EE,PL,7.72,2.09,5.64
EE,SK,7.71,0.86,6.86
ES,UA,7.7,7.35,0.35
ME,MT,7.7,5.45,2.25
IE,NL,7.66,4.02,3.64
FI,UA,7.66,4.79,2.87
IS,RS,7.65,3.23,4.42
AT,IS,7.64,3.34,4.3
IL,SM,7.62,1.0,6.62
CZ,SM,7.62,2.0,5.62
BE,SE,7.61,5.15,2.46
GR,NL,7.6,3.11,4.49
CH,HU,7.6,4.43,3.17
CH,SE,7.59,4.55,3.04
BY,CY,7.59,3.5,4.09
RS,SK,7.58,2.33,5.25
MD,TR,7.57,1.57,6.0
CH,GR,7.55,4.03,3.53
GB,LU,7.54,2.68,4.86
CH,MT,7.54,2.4,5.14
DK,RU,7.53,4.14,3.39
DK,MT,7.52,3.64,3.88
MD,MK,7.5,3.5,4.0
RO,RS,7.5,4.5,3.0
AD,AZ,7.5,7.5,0.0
IS,YU,7.43,6.86,0.57
IS,SM,7.43,2.1,5.33
FR,LU,7.42,3.06,4.36
IL,MC,7.4,2.4,5.0
CY,HR,7.4,3.4,4.0
IE,RU,7.39,5.33,2.05
DK,IL,7.38,3.32,4.06
CY,MD,7.38,4.13,3.25
BE,HU,7.36,4.0,3.36
GB,UA,7.35,5.0,2.35
FI,IE,7.33,3.59,3.74
FI,LT,7.33,2.74,4.59
AZ,NL,7.33,3.0,4.33
NL,RO,7.32,2.48,4.84
BG,DE,7.32,1.5,5.82
AM,NO,7.31,5.12,2.19
NL,RS,7.3,4.69,2.62
BE,RO,7.29,4.45,2.84
GR,IL,7.28,3.08,4.21
IL,PL,7.26,2.67,4.59
GR,HU,7.25,2.81,4.44
AZ,SK,7.25,0.0,7.25
AT,NL,7.24,4.51,2.73
CH,GB,7.24,3.57,3.67
EE,SM,7.23,2.9,4.33
DE,HR,7.22,5.91,1.31
CH,FI,7.21,2.6,4.6
CH,TR,7.2,5.13,2.07
DK,GB,7.19,3.27,3.92
NL,PL,7.19,3.48,3.71
IE,IL,7.17,4.89,2.28
DE,RU,7.17,5.52,1.65
AM,RO,7.17,2.0,5.17
HR,IE,7.16,3.56,3.6
AT,UA,7.15,4.94,2.21
EE,IL,7.13,2.08,5.04
IL,LV,7.13,3.82,3.3
ES,MD,7.13,5.71,1.42
FR,MC,7.12,2.73,4.39
HR,IL,7.12,4.26,2.86
HR,MD,7.12,3.38,3.75
BA,UA,7.11,4.91,2.2
FR,TR,7.09,5.94,1.15
CZ,MT,7.09,4.27,2.82
BE,FR,7.08,3.67,3.41
EE,PT,7.08,2.42,4.67
IL,LT,7.04,2.59,4.45
FR,NL,7.01,3.68,3.32
IE,IT,7.01,3.17,3.84
BE,GR,7.01,4.27,2.74
BG,NL,7.01,2.92,4.09
AT,SE,7.0,4.37,2.63
CH,MA,7.0,0.0,7.0
IT,MA,7.0,7.0,0.0
BE,IS,7.0,3.61,3.39
HR,SK,7.0,1.6,5.4
CS,MC,7.0,0.0,7.0
CS,ES,7.0,0.0,7.0
AL,PT,6.99,4.44,2.56
RS,SM,6.99,1.57,5.42
NL,PT,6.96,3.3,3.66
BY,NO,6.96,6.6,0.36
BY,HU,6.96,3.08,3.88
CH,FR,6.95,3.68,3.27
AT,GB,6.89,3.86,3.04
CH,NO,6.89,3.07,3.82
DK,PL,6.89,2.63,4.26
FR,IS,6.88,2.94,3.95
AM,BA,6.88,2.71,4.17
CZ,IT,6.88,4.0,2.88
AU,ME,6.88,1.17,5.71
DE,DK,6.87,3.21,3.66
AT,IT,6.86,4.16,2.7
DK,FI,6.85,3.56,3.29
PT,SE,6.85,4.72,2.13
NL,RU,6.85,4.9,1.94
CZ,GE,6.85,2.4,4.45
AT,MT,6.84,3.76,3.08
BA,FR,6.84,3.11,3.74
FI,HR,6.83,3.5,3.33
CZ,GR,6.82,3.42,3.4
PL,SI,6.81,4.59,2.22
LV,PL,6.79,2.06,4.73
BY,RS,6.78,4.0,2.78
CH,DE,6.77,3.11,3.66
AT,LT,6.77,1.1,5.67
EE,GB,6.75,2.23,4.52
BA,CH,6.73,0.73,6.0
BE,PT,6.7,2.82,3.88
CY,IE,6.7,3.45,3.24
