Source,Target,VoteType,TotalPoints,Encounters,AvgPointsPerEncounter
LU,AL,public,7,1,7.0
GE,UA,jury,55,8,6.88
ES,UA,public,55,8,6.88
EE,LT,public,55,8,6.88
IS,CZ,jury,48,7,6.86
SM,GR,jury,48,7,6.86
GE,CH,jury,48,7,6.86
GR,AM,public,48,7,6.86
GB,FI,public,48,7,6.86
FR,AU,jury,41,6,6.83
SM,MD,public,41,6,6.83
RO,IT,public,41,6,6.83
GR,BG,jury,34,5,6.8
MD,CH,jury,34,5,6.8
GE,MD,public,34,5,6.8
AU,IS,public,34,5,6.8
HR,IT,jury,61,9,6.78
SI,IT,jury,61,9,6.78
BE,FR,public,61,9,6.78
AZ,UA,jury,54,8,6.75
LV,LT,jury,54,8,6.75
EE,FI,jury,54,8,6.75
FR,PT,jury,54,8,6.75
EE,HU,public,27,4,6.75
IS,NO,public,54,8,6.75
MT,NO,public,54,8,6.75
RO,AZ,public,27,4,6.75
HR,MK,public,27,4,6.75
CY,AU,jury,47,7,6.71
GR,AM,jury,47,7,6.71
SI,CH,jury,47,7,6.71
GE,LT,public,47,7,6.71
MK,AU,jury,40,6,6.67
IS,RU,jury,20,3,6.67
AT,SE,jury,60,9,6.67
PL,SE,jury,60,9,6.67
AZ,HU,jury,20,3,6.67
DK,MK,jury,20,3,6.67
RO,BG,jury,20,3,6.67
AT,MK,jury,20,3,6.67
EE,SE,public,60,9,6.67
IT,PL,public,40,6,6.67
AU,MT,public,40,6,6.67
HU,AT,public,20,3,6.67
DE,HR,public,40,6,6.67
IS,FI,public,60,9,6.67
SI,ME,public,20,3,6.67
AL,SM,public,20,3,6.67
GE,PT,jury,53,8,6.62
AT,UA,public,53,8,6.62
NL,IL,public,53,8,6.62
MK,UA,public,33,5,6.6
AZ,MT,public,33,5,6.6
AU,IE,public,33,5,6.6
SI,MD,public,33,5,6.6
NO,AU,jury,46,7,6.57
SI,NL,jury,46,7,6.57
PL,CH,jury,46,7,6.57
DK,NL,public,46,7,6.57
DK,NO,jury,59,9,6.56
BY,RU,jury,13,2,6.5
AU,BG,jury,26,4,6.5
GE,BE,jury,39,6,6.5
MD,MT,jury,26,4,6.5
GR,SM,jury,26,4,6.5
AM,MD,jury,39,6,6.5
LV,MK,jury,13,2,6.5
PT,BE,jury,39,6,6.5
GR,RO,jury,13,2,6.5
RO,AU,jury,39,6,6.5
GE,RU,public,26,4,6.5
CZ,BG,public,26,4,6.5
BY,IL,public,26,4,6.5
HU,RO,public,13,2,6.5
LT,CH,jury,58,9,6.44
PT,CH,jury,45,7,6.43
IL,EE,public,45,7,6.43
NL,BE,jury,32,5,6.4
AU,MD,jury,32,5,6.4
PT,AU,jury,32,5,6.4
DK,BE,public,32,5,6.4
PL,MD,public,32,5,6.4
RO,CH,public,32,5,6.4
EE,UA,public,51,8,6.38
PT,ES,public,51,8,6.38
CZ,AU,jury,38,6,6.33
GE,AU,jury,38,6,6.33
CH,AU,jury,38,6,6.33
BE,RU,jury,19,3,6.33
SI,SE,jury,57,9,6.33
BG,MT,jury,19,3,6.33
IL,LV,jury,19,3,6.33
AM,GE,jury,19,3,6.33
BY,AL,jury,19,3,6.33
PL,AU,public,38,6,6.33
IS,RU,public,19,3,6.33
BY,AM,public,19,3,6.33
BG,HU,public,19,3,6.33
UA,GE,public,19,3,6.33
GE,BY,public,19,3,6.33
IL,RO,public,19,3,6.33
DE,MT,jury,44,7,6.29
LV,PT,jury,44,7,6.29
CZ,PL,public,44,7,6.29
IL,BG,jury,25,4,6.25
RU,SE,jury,25,4,6.25
BG,MD,jury,25,4,6.25
AU,BG,public,25,4,6.25
AZ,BG,public,25,4,6.25
SM,CY,public,50,8,6.25
LT,SE,jury,56,9,6.22
CH,SE,jury,56,9,6.22
CZ,IL,public,56,9,6.22
AT,IT,public,56,9,6.22
SM,IT,public,56,9,6.22
DE,MK,jury,31,5,6.2
NO,BG,public,31,5,6.2
AU,DK,public,31,5,6.2
MK,IL,jury,37,6,6.17
AL,AZ,jury,37,6,6.17
IS,AU,public,37,6,6.17
LV,NL,jury,43,7,6.14
HR,PT,jury,43,7,6.14
LT,AT,jury,49,8,6.12
PT,IT,public,49,8,6.12
ES,SE,jury,55,9,6.11
ES,IT,public,55,9,6.11
PL,UA,jury,48,8,6.0
AL,AU,jury,36,6,6.0
CZ,BG,jury,24,4,6.0
GE,BG,jury,24,4,6.0
PL,BE,jury,36,6,6.0
AM,NL,jury,36,6,6.0
SM,NL,jury,42,7,6.0
NL,AT,jury,48,8,6.0
GE,LV,jury,36,6,6.0
UA,LV,jury,30,5,6.0
BY,GE,jury,12,2,6.0
BY,CY,jury,24,4,6.0
MT,CY,jury,48,8,6.0
ME,HR,jury,12,2,6.0
ME,BA,jury,6,1,6.0
GR,ME,jury,18,3,6.0
FR,IS,jury,30,5,6.0
NO,CH,jury,48,8,6.0
AT,PT,jury,42,7,6.0
PL,PT,jury,48,8,6.0
ES,PT,jury,48,8,6.0
HU,RO,jury,12,2,6.0
ME,RO,jury,18,3,6.0
SE,NO,jury,48,8,6.0
PT,NL,jury,36,6,6.0
HU,MK,jury,12,2,6.0
PT,LT,jury,36,6,6.0
AZ,MK,jury,24,4,6.0
LU,HR,jury,6,1,6.0
BE,UA,public,48,8,6.0
HU,UA,public,18,3,6.0
SE,UA,public,48,8,6.0
ES,RU,public,18,3,6.0
DK,BG,public,30,5,6.0
CZ,AM,public,42,7,6.0
RU,AT,public,18,3,6.0
SM,IL,public,54,9,6.0
MT,AZ,public,30,5,6.0
LT,GE,public,12,2,6.0
HU,CY,public,24,4,6.0
FR,BA,public,6,1,6.0
HR,ME,public,6,1,6.0
ME,MD,public,24,4,6.0
GB,RO,public,18,3,6.0
IS,DK,public,36,6,6.0
NL,DK,public,30,5,6.0
DK,FI,public,36,6,6.0
IE,CH,jury,53,9,5.89
FR,AT,jury,47,8,5.88
LT,IL,jury,47,8,5.88
NO,IL,jury,47,8,5.88
IE,NL,jury,41,7,5.86
FI,AT,jury,41,7,5.86
IE,AT,jury,41,7,5.86
ES,CZ,jury,41,7,5.86
